GendreauDumasExtended/n40w140.001.txt |   sequence |       open | 2147483.65 |       0.01 | 32 10 2 20 19 33 23 34 27 31 29 9 21 13 14 28 15 17 16 6 30 35 36 8 4 11 5 22 24 38 3 18 37 40 39 7 25 12 0 0 | seed: 6557046645780566628 | 0
GendreauDumasExtended/n40w140.002.txt |   sequence |       open |     431.00 |       0.01 | 5 35 15 7 22 36 11 34 3 19 32 12 26 25 39 1 18 14 27 13 17 29 30 16 2 24 23 31 8 10 33 28 21 4 6 9 38 40 37 20 | seed: 2455177272604861791 | 0
GendreauDumasExtended/n40w140.003.txt |   sequence |       open | 2147483.65 |       0.01 | 17 11 35 30 10 31 1 23 27 4 32 7 34 38 24 2 6 36 26 3 20 8 19 25 13 21 37 28 39 18 33 40 15 0 0 0 0 0 0 0 | seed: 2861680505295590819 | 0
GendreauDumasExtended/n40w140.004.txt |   sequence |       open | 2147483.65 |       0.00 | 12 3 8 23 26 28 9 17 32 14 38 24 25 19 11 39 15 21 7 36 6 34 29 22 35 20 10 30 18 16 37 5 2 31 40 4 0 0 0 0 | seed: 6767439770565825874 | 0
GendreauDumasExtended/n40w140.005.txt |   sequence |       open | 2147483.65 |       0.01 | 24 11 29 15 2 33 26 21 4 6 7 36 32 37 20 35 5 17 38 28 16 18 34 10 39 27 25 31 8 14 3 19 1 40 22 30 9 12 0 0 | seed: -3377242416268233984 | 0
GendreauDumasExtended/n40w160.001.txt |   sequence |       open |     437.00 |       0.01 | 15 10 36 6 16 17 4 8 7 33 19 32 31 1 27 9 25 22 18 12 21 13 3 23 26 5 35 30 34 28 29 38 2 20 14 39 11 40 37 24 | seed: -5934567500286606297 | 0
GendreauDumasExtended/n40w160.002.txt |   sequence |       open |     493.00 |       0.01 | 30 3 18 34 38 28 8 6 14 20 24 26 15 27 1 10 35 13 12 2 23 17 5 9 33 37 19 21 29 25 11 16 4 40 31 32 22 7 36 39 | seed: 7427563159852210577 | 0
GendreauDumasExtended/n40w160.003.txt |   sequence |       open | 2147483.65 |       0.00 | 18 12 36 4 22 25 10 27 34 19 39 16 28 23 17 1 24 38 14 30 37 31 13 7 15 2 3 20 29 5 21 11 40 0 0 0 0 0 0 0 | seed: 8994003693229701925 | 0
GendreauDumasExtended/n40w160.004.txt |   sequence |       open |     507.00 |       0.01 | 13 7 28 15 3 4 14 26 19 33 36 38 9 30 29 37 18 8 31 32 24 6 23 10 16 2 39 5 11 21 34 35 20 27 25 1 12 22 17 40 | seed: 5120415901238776559 | 0
GendreauDumasExtended/n40w160.005.txt |   sequence |       open | 2147483.65 |       0.01 | 4 18 20 2 25 37 17 36 3 9 5 23 11 15 24 1 26 27 13 8 6 39 30 14 31 22 21 16 35 38 10 19 32 12 34 40 0 0 0 0 | seed: 4502180025139737554 | 0
GendreauDumasExtended/n40w180.001.txt |   sequence |       open | 2147483.65 |       0.01 | 17 8 39 11 33 31 9 38 21 28 18 36 37 14 2 13 35 24 34 4 26 1 20 32 25 16 5 12 7 30 6 10 29 15 3 22 27 40 19 0 | seed: 7528472247706270093 | 0
GendreauDumasExtended/n40w180.002.txt |   sequence |       open |     460.00 |       0.00 | 30 10 15 11 14 13 18 26 8 35 17 23 19 4 27 21 37 6 24 7 1 3 2 25 39 16 36 12 33 38 32 28 20 29 34 5 22 40 9 31 | seed: -6981424362593039702 | 0
GendreauDumasExtended/n40w180.003.txt |   sequence |       open |     390.00 |       0.00 | 31 34 18 15 38 10 22 8 27 6 35 5 25 16 24 14 32 21 37 7 12 4 13 20 26 29 33 1 2 28 23 17 30 9 36 40 3 11 19 39 | seed: -9032441075341018024 | 0
GendreauDumasExtended/n40w180.004.txt |   sequence |       open |     500.00 |       0.00 | 36 15 25 20 2 10 26 19 38 3 24 4 39 30 27 8 33 1 34 14 28 31 37 9 11 29 12 22 7 13 21 23 16 5 6 18 17 35 32 40 | seed: 1016584291111579110 | 0
GendreauDumasExtended/n40w180.005.txt |   sequence |       open | 2147483.65 |       0.00 | 29 16 3 2 7 34 6 32 22 14 23 9 37 17 15 38 20 1 21 4 27 28 12 11 5 13 26 19 33 10 39 24 35 31 40 36 0 0 0 0 | seed: -880917231650522393 | 0
GendreauDumasExtended/n40w200.001.txt |   sequence |       open | 2147483.65 |       0.00 | 1 27 32 31 21 9 3 26 4 13 2 33 19 22 24 37 36 39 10 35 12 30 15 25 29 17 7 11 6 23 28 38 40 0 0 0 0 0 0 0 | seed: -3148229689243372060 | 0
GendreauDumasExtended/n40w200.002.txt |   sequence |       open |     442.00 |       0.00 | 4 36 8 26 22 24 11 15 34 33 12 9 10 7 28 21 25 39 3 23 37 30 32 1 2 29 16 19 14 18 6 27 20 5 38 35 13 17 31 40 | seed: -1325642098359712111 | 0
GendreauDumasExtended/n40w200.003.txt |   sequence |       open | 2147483.65 |       0.00 | 22 26 8 39 4 7 16 17 34 25 2 30 18 14 12 15 3 35 21 28 37 27 6 9 11 33 38 29 24 1 10 20 32 19 5 40 0 0 0 0 | seed: -7131992291189971388 | 0
GendreauDumasExtended/n40w200.004.txt |   sequence |       open | 2147483.65 |       0.00 | 19 26 6 10 27 39 16 24 28 15 17 2 3 11 29 1 37 22 5 7 23 38 34 32 33 40 8 25 12 35 13 14 31 4 9 36 30 0 0 0 | seed: 8836306619031662849 | 0
GendreauDumasExtended/n40w200.005.txt |   sequence |       open | 2147483.65 |       0.00 | 28 14 33 27 34 1 26 6 24 4 12 29 25 37 3 5 23 20 39 7 16 2 21 31 11 32 18 30 36 10 35 17 8 38 40 9 22 0 0 0 | seed: 1375018267267874224 | 0
GendreauDumasExtended/n60w120.001.txt |   sequence |       open |     502.00 |       0.01 | 38 6 48 12 56 34 17 19 51 9 15 25 7 32 22 59 58 42 13 4 5 52 30 44 50 18 47 31 46 16 23 21 28 39 29 11 2 43 41 27 10 45 57 35 8 26 1 3 33 54 36 24 20 37 49 40 55 14 53 60 | seed: -5557305566837488381 | 0
GendreauDumasExtended/n60w120.002.txt |   sequence |       open | 2147483.65 |       0.00 | 2 15 59 36 26 54 38 50 22 39 56 32 27 25 28 31 24 46 29 7 20 57 55 34 11 10 51 42 9 41 8 33 45 30 58 53 44 1 13 43 21 49 14 48 12 40 23 47 18 19 35 16 6 3 60 37 52 0 0 0 | seed: -7465384919724559539 | 0
GendreauDumasExtended/n60w120.003.txt |   sequence |       open | 2147483.65 |       0.01 | 18 56 14 12 34 29 45 15 48 52 38 19 22 33 37 44 13 17 25 59 40 7 5 26 11 8 41 27 24 47 35 23 16 9 3 51 55 6 50 42 39 21 30 54 57 32 28 60 10 36 58 53 2 4 0 0 0 0 0 0 | seed: -6446969696925052111 | 0
GendreauDumasExtended/n60w120.004.txt |   sequence |       open | 2147483.65 |       0.01 | 8 10 49 48 25 13 56 12 33 27 43 29 11 38 4 44 50 30 23 9 22 41 54 34 2 21 18 6 1 14 20 46 24 5 42 47 17 40 31 37 19 28 39 26 45 52 53 59 32 36 16 60 51 57 0 0 0 0 0 0 | seed: 4574720466092070672 | 0
GendreauDumasExtended/n60w120.005.txt |   sequence |       open | 2147483.65 |       0.01 | 18 26 7 3 8 13 35 42 51 12 50 33 29 34 47 20 55 44 28 37 19 49 48 52 56 17 6 39 36 54 31 43 23 38 40 59 30 5 24 9 14 15 60 4 41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 | seed: 5417016498630953147 | 0
GendreauDumasExtended/n60w140.001.txt |   sequence |       open | 2147483.65 |       0.01 | 18 3 33 29 6 58 21 28 4 17 32 55 15 44 19 24 56 8 39 12 42 16 43 52 14 59 27 47 20 49 48 26 35 46 50 9 5 53 34 37 38 51 22 10 41 30 23 60 13 1 0 0 0 0 0 0 0 0 0 0 | seed: 5622427846763363546 | 0
GendreauDumasExtended/n60w140.002.txt |   sequence |       open | 2147483.65 |       0.00 | 30 10 31 21 19 15 47 6 35 3 2 42 18 55 16 41 58 12 36 17 9 39 37 25 29 7 51 28 46 56 4 45 20 13 8 27 23 38 43 50 14 53 59 57 24 49 22 40 48 1 33 54 52 11 26 60 5 0 0 0 | seed: 8108409756616658245 | 0
GendreauDumasExtended/n60w140.003.txt |   sequence |       open | 2147483.65 |       0.01 | 40 49 6 43 52 33 28 45 18 15 27 32 55 1 58 7 41 2 19 26 37 42 38 54 9 29 25 36 51 34 35 30 12 8 5 44 56 17 14 3 13 31 4 21 59 16 11 53 39 57 50 47 10 20 22 46 60 48 23 0 | seed: -6467823502621051827 | 0
GendreauDumasExtended/n60w140.004.txt |   sequence |       open | 2147483.65 |       0.00 | 3 55 10 50 8 38 26 13 24 12 9 35 27 23 29 53 41 22 39 21 57 4 15 59 5 30 2 48 44 20 11 51 14 54 19 37 7 17 47 46 33 18 25 16 42 1 40 34 36 58 52 60 28 45 56 6 0 0 0 0 | seed: -3587191849799340771 | 0
GendreauDumasExtended/n60w140.005.txt |   sequence |       open | 2147483.65 |       0.01 | 49 31 20 24 33 5 2 4 51 41 45 12 55 59 38 28 1 34 7 16 50 39 21 13 14 3 30 29 25 48 10 19 36 6 43 58 54 40 57 37 26 53 8 23 52 42 47 22 44 15 18 32 60 27 56 0 0 0 0 0 | seed: -7863084752852009133 | 0
GendreauDumasExtended/n60w160.001.txt |   sequence |       open | 2147483.65 |       0.01 | 16 7 46 49 26 8 39 12 14 33 53 38 37 27 45 28 1 42 32 22 35 17 21 31 24 4 11 40 54 58 15 36 9 44 5 48 43 3 10 41 55 57 59 23 60 13 6 0 0 0 0 0 0 0 0 0 0 0 0 0 | seed: 1045338562001205651 | 0
GendreauDumasExtended/n60w160.002.txt |   sequence |       open |     635.00 |       0.01 | 41 5 32 19 56 9 48 13 44 36 14 8 47 55 1 52 59 20 24 40 58 23 18 3 49 45 54 51 26 34 15 25 42 12 37 16 11 22 50 7 33 30 57 10 2 53 38 4 21 31 46 17 60 39 6 43 35 28 29 27 | seed: 6788398932939627827 | 0
GendreauDumasExtended/n60w160.003.txt |   sequence |       open | 2147483.65 |       0.01 | 52 3 17 38 7 24 60 43 31 14 21 23 28 19 9 50 20 2 4 58 13 6 5 30 22 27 46 12 32 29 39 34 45 42 35 8 56 16 18 26 11 54 33 44 40 59 1 10 48 0 0 0 0 0 0 0 0 0 0 0 | seed: 8260364674780322514 | 0
GendreauDumasExtended/n60w160.004.txt |   sequence |       open |     563.00 |       0.01 | 49 5 6 12 31 2 23 41 27 45 34 37 11 36 54 19 14 50 1 53 33 13 26 4 56 42 18 24 58 32 8 3 22 44 47 17 21 29 20 7 46 40 43 52 57 48 51 15 55 25 39 35 10 30 38 16 60 9 59 28 | seed: -2590326739851080946 | 0
GendreauDumasExtended/n60w160.005.txt |   sequence |       open | 2147483.65 |       0.01 | 26 29 3 6 38 12 7 34 2 45 10 24 50 57 39 53 27 18 23 20 25 46 37 22 56 36 8 17 31 11 52 5 41 13 9 40 33 15 32 54 14 44 43 49 58 21 47 30 59 4 51 1 19 28 55 16 60 42 0 0 | seed: 2350310289082356526 | 0
GendreauDumasExtended/n60w180.001.txt |   sequence |       open | 2147483.65 |       0.00 | 19 58 9 3 21 4 8 51 41 55 22 18 33 20 26 7 56 24 57 2 42 49 35 59 17 29 44 53 38 47 40 1 16 30 50 32 15 25 34 37 28 31 13 36 11 48 43 27 60 14 39 0 0 0 0 0 0 0 0 0 | seed: -7764454337007869821 | 0
GendreauDumasExtended/n60w180.002.txt |   sequence |       open | 2147483.65 |       0.00 | 38 6 15 43 29 28 31 51 59 19 18 34 58 36 16 14 53 47 40 7 32 26 22 3 44 25 2 21 10 17 11 30 45 27 5 37 1 35 24 20 57 9 46 41 39 60 49 0 0 0 0 0 0 0 0 0 0 0 0 0 | seed: -7859639560235722435 | 0
GendreauDumasExtended/n60w180.003.txt |   sequence |       open | 2147483.65 |       0.01 | 41 47 46 40 30 7 14 19 38 52 32 58 10 5 50 25 33 17 43 27 8 59 22 51 2 12 35 55 34 4 18 37 13 44 3 20 49 54 48 31 28 26 29 24 21 23 57 1 39 42 36 9 45 6 53 15 60 16 0 0 | seed: -311914352962763506 | 0
GendreauDumasExtended/n60w180.004.txt |   sequence |       open | 2147483.65 |       0.01 | 12 20 32 50 44 24 56 13 6 27 42 15 47 30 28 1 54 35 59 39 17 58 49 41 55 19 11 14 51 40 7 16 18 48 26 9 36 34 43 38 52 33 22 3 5 31 2 4 25 21 8 23 29 57 46 60 10 0 0 0 | seed: -3439706874619786327 | 0
GendreauDumasExtended/n60w180.005.txt |   sequence |       open | 2147483.65 |       0.01 | 20 33 16 52 54 4 25 24 14 53 36 50 10 5 44 56 55 21 12 6 15 11 18 40 28 48 37 29 30 35 43 31 3 8 41 32 45 19 49 34 27 2 39 46 23 60 58 26 7 0 0 0 0 0 0 0 0 0 0 0 | seed: -1921630372711572273 | 0
GendreauDumasExtended/n60w200.001.txt |   sequence |       open | 2147483.65 |       0.00 | 17 5 26 29 38 47 19 1 6 50 43 57 51 36 39 56 18 20 30 15 23 48 28 41 16 46 37 58 42 22 13 52 14 55 59 27 35 4 8 7 2 3 33 25 10 21 11 49 9 53 60 0 0 0 0 0 0 0 0 0 | seed: -2503908708619680324 | 0
