SolomonPesant/rc201.0 |   sequence |       open |     725.29 |       0.05 | 11 2 1 15 23 19 6 5 8 9 18 21 3 24 20 12 13 4 22 17 14 10 7 16 25 | seed: 494632823775997173 | 15
SolomonPesant/rc201.0 |   sequence |       open |     721.57 |       0.05 | 11 2 1 23 15 19 6 9 8 5 18 21 20 24 3 12 13 4 22 17 14 7 10 16 25 | seed: 6710053648571282611 | 39
SolomonPesant/rc201.0 |   sequence |       open |     710.15 |       0.06 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 12 3 13 4 22 17 14 10 7 16 25 | seed: -8715574604138704958 | 2
SolomonPesant/rc201.0 |   sequence |       open |     697.08 |       0.05 | 11 2 1 23 15 19 6 9 8 5 18 21 24 13 20 3 12 4 22 17 14 10 7 16 25 | seed: -8097412517551005710 | 21
SolomonPesant/rc201.0 |   sequence |       open |     730.49 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 16 25 | seed: 1307350045182084208 | 55
SolomonPesant/rc201.0 |   sequence |       open |     698.11 |       0.05 | 11 2 1 23 15 19 6 9 8 5 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -3930683971052462228 | 44
SolomonPesant/rc201.0 |   sequence |       open |     730.42 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 24 12 20 3 13 4 22 17 14 10 7 16 25 | seed: -8014091232149004711 | 46
SolomonPesant/rc201.0 |   sequence |       open |     725.29 |       0.06 | 11 2 1 15 23 19 6 5 8 9 18 21 3 24 20 12 13 4 22 17 14 10 7 16 25 | seed: -8192361924370741255 | 37
SolomonPesant/rc201.0 |   sequence |       open |     724.73 |       0.05 | 11 2 1 23 15 19 6 5 8 9 18 21 3 24 20 12 13 4 22 17 14 10 7 16 25 | seed: 6080390704399132154 | 52
SolomonPesant/rc201.0 |   sequence |       open |     710.15 |       0.02 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 12 3 13 4 22 17 14 10 7 16 25 | seed: 1976110160497133523 | 63
SolomonPesant/rc201.0 |   sequence |       open |     693.90 |       0.02 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 6002973728698484710 | 18
SolomonPesant/rc201.0 |   sequence |       open |     687.98 |       0.02 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 7 10 14 16 25 | seed: 655327789284096044 | 69
SolomonPesant/rc201.0 |   sequence |       open |     683.56 |       0.02 | 11 2 1 23 15 19 6 5 8 9 18 21 20 13 24 12 3 4 22 7 17 14 10 16 25 | seed: 3070805476846647191 | 58
SolomonPesant/rc201.0 |   sequence |       open |     698.11 |       0.01 | 11 2 1 23 15 19 6 9 8 5 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 7497421253861680334 | 61
SolomonPesant/rc201.0 |   sequence |       open |     698.11 |       0.03 | 11 2 1 23 15 19 6 9 8 5 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 2213490137388015599 | 34
SolomonPesant/rc201.0 |   sequence |       open |     714.36 |       0.01 | 11 2 1 23 15 19 6 9 8 5 18 21 20 24 12 3 13 4 22 17 14 10 7 16 25 | seed: -7436858995174400558 | 8
SolomonPesant/rc201.0 |   sequence |       open |     698.11 |       0.02 | 11 2 1 23 15 19 6 9 8 5 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 2443102426627132059 | 28
SolomonPesant/rc201.0 |   sequence |       open |     730.42 |       0.02 | 11 2 1 23 15 19 6 5 8 9 18 21 24 12 20 3 13 4 22 17 14 10 7 16 25 | seed: 7148362478873444010 | 68
