SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     496.16 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 2 15 | seed: 6656705071612493798 | 57
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     496.16 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 2 15 | seed: 9036712151406832612 | 4
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: 6300603265153480069 | 23
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     499.87 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 3 19 10 12 2 15 | seed: 7606838180752608785 | 13
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     466.19 |       0.00 | 14 18 13 9 4 8 5 7 6 16 19 17 11 1 12 10 3 2 15 | seed: -7040346567971478806 | 26
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     457.22 |       0.00 | 14 18 13 9 5 8 6 4 7 16 19 17 11 1 12 3 10 2 15 | seed: -8275386208672578364 | 70
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     496.16 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 2 15 | seed: 2479078914992989855 | 56
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     496.99 |       0.00 | 14 18 13 9 8 6 4 5 7 16 17 11 1 12 19 3 10 2 15 | seed: 4986816043386977682 | 14
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: -6640789470167129831 | 65
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     496.16 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 2 15 | seed: -3557797386704526529 | 32
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: 6981242780551535443 | 29
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     462.71 |       0.00 | 14 18 13 9 5 4 8 6 7 16 17 19 11 12 3 1 10 2 15 | seed: 2548348089777696449 | 39
